date,interest_rate
2020-04-01,37.15
2020-04-02,37.13
2020-04-03,37.12
2020-04-04,37.12
2020-04-05,37.12
2020-04-06,37.18
2020-04-07,37.16
2020-04-08,37.17
2020-04-09,37.17
2020-04-10,37.17
2020-04-11,37.17
2020-04-12,37.17
2020-04-13,37.17
2020-04-14,37.12
2020-04-15,37.19
2020-04-16,37.17
2020-04-17,37.05
2020-04-18,37.05
2020-04-19,37.05
2020-04-20,37.03
2020-04-21,37.04
2020-04-22,37.07
2020-04-23,37.09
2020-04-24,37.09
2020-04-25,37.09
2020-04-26,37.09
2020-04-27,37.28
2020-04-28,37.31
2020-04-29,37.17
2020-04-30,37.19
2020-05-01,37.19
2020-05-02,37.19
2020-05-03,37.19
2020-05-04,37.21
2020-05-05,37.19
2020-05-06,37.2
2020-05-07,37.22
2020-05-08,37.36
2020-05-09,37.36
2020-05-10,37.36
2020-05-11,37.43
2020-05-12,37.27
2020-05-13,37.28
2020-05-14,37.38
2020-05-15,37.46
2020-05-16,37.46
2020-05-17,37.46
2020-05-18,37.48
2020-05-19,37.35
2020-05-20,37.32
2020-05-21,37.34
2020-05-22,37.4
2020-05-23,37.4
2020-05-24,37.4
2020-05-25,37.4
2020-05-26,37.43
2020-05-27,37.46
2020-05-28,37.51
2020-05-29,37.54
2020-05-30,37.54
2020-05-31,37.54
2020-06-01,37.67
2020-06-02,37.66
2020-06-03,37.69
2020-06-04,37.76
2020-06-05,37.78
2020-06-06,37.78
2020-06-07,37.78
2020-06-08,37.83
2020-06-09,37.85
2020-06-10,37.92
2020-06-11,37.91
2020-06-12,38.02
2020-06-13,38.02
2020-06-14,38.02
2020-06-15,38.06
2020-06-16,38.12
2020-06-17,38.12
2020-06-18,38.14
2020-06-19,38.11
2020-06-20,38.11
2020-06-21,38.11
2020-06-22,38.25
2020-06-23,38.26
2020-06-24,38.26
2020-06-25,38.29
2020-06-26,38.3
2020-06-27,38.3
2020-06-28,38.3
2020-06-29,38.3
2020-06-30,38.32
2020-07-01,38.36
2020-07-02,38.35
2020-07-03,35.05
2020-07-04,35.05
2020-07-05,35.05
2020-07-06,35.05
2020-07-07,38.38
2020-07-08,38.37
2020-07-09,38.37
2020-07-10,38.4
2020-07-11,38.4
2020-07-12,38.4
2020-07-13,38.49
2020-07-14,38.48
2020-07-15,38.53
2020-07-16,38.53
2020-07-17,38.42
2020-07-18,38.42
2020-07-19,38.42
2020-07-20,38.48
2020-07-21,38.5
2020-07-22,38.51
2020-07-23,38.51
2020-07-24,38.51
2020-07-25,38.51
2020-07-26,38.51
2020-07-27,38.56
2020-07-28,38.56
2020-07-29,38.38
2020-07-30,38.38
2020-07-31,38.41
2020-08-01,38.41
2020-08-02,38.41
2020-08-03,38.42
2020-08-04,38.42
2020-08-05,38.42
2020-08-06,38.41
2020-08-07,38.36
2020-08-08,38.36
2020-08-09,38.36
2020-08-10,38.32
2020-08-11,38.29
2020-08-12,38.31
2020-08-13,38.3
2020-08-14,38.28
2020-08-15,38.28
2020-08-16,38.28
2020-08-17,38.27
